trend_id,token_type,platform,date,volume,engagement,audience_signals,category,geo,raw_token,growth_rate_7d,acceleration,current_stage,recommended_action,products,best_loreal_product,product_score,brand_matches,best_brands,brand_scores
#fyp,hashtag,youtube,7/9/2025,624,654153,"{'gen_z': np.float64(0.41), 'millennials': np.float64(0.59)}","['lifestyle', 'health']","['en-US', 'ur', 'bn-IN', 'en', 'hi-Latn', 'hi', 'en-GB']",#fyp,1,0.333,emerging,Hop on now,"bronzer, lipstick, eyeliner, eyeshadow, perfume, contour, lip liner, blush, comb, body lotion, foundation, cushion foundation, highlighter, face mask, serum, mascara, moisturizer, sunscreen, hand cream, hair mask, hair oil, body mist, lip gloss, concealer, brightening serum, illuminator, curling iron, matte lipstick, lip pencil, night cream, lip plumper, shampoo, lip stain, deodorant, toner, hair brush, setting spray, setting powder, primer, scalp treatment, lip oil, body serum, tinted moisturizer, hair treatment, face mist, hydrating toner, body toner, brush set, lip tint, conditioner, curl cream, body scrub, shower gel, liquid lipstick, cream blush, liquid foundation, pressed powder, brow pencil, eyebrow pen, eyebrow pencil, body oil, eye cream, exfoliating glove, acne treatment, lip balm, body moisturizer, essential oil, keratin treatment, lip crayon, lash curler, eyelash curler, hair dryer, makeup remover, makeup palette, face powder, loose powder, hair serum, brow gel, lash comb, face wipes, body wash, hair spray, hair mist, lip mask, body spray, compact powder, headband, hair clip, gua sha, night serum, liquid eyeliner, dry shampoo, cream highlighter, sunblock, face primer, powder blush, cream contour, lip scrub, hair growth serum, hyaluronic acid serum, eye makeup remover, makeup brush, whitening cream, body butter","Infallible Lip Makeup
Infallible Matte Resistance Liquid Lipstick",100,"[('Kérastase', 51)]",['Kérastase'],[51]
#facial,hashtag,youtube,7/9/2025,595,54929,"{'gen_z': np.float64(0.53), 'millennials': np.float64(0.47)}","['lifestyle', 'health']","['en', 'hi', 'es-419', 'zxx', 'ur']",#facial,0,0.333,peak,Maintain visibility,"lipstick, primer, hair treatment, contour, serum, face mask, face scrub, body scrub, body wash, whitening cream, eyeshadow, moisturizer, sunscreen, gua sha, acne treatment, blush, mascara, face cleanser, conditioner, hair mask, massage oil, keratin treatment, comb, lip balm, eyeliner, toner, shampoo, foundation, lip gloss, concealer, hyaluronic acid serum, face mist, jade roller, hair oil, highlighter, body cream, hair serum, makeup remover, makeup palette, detox mask, facial roller, body polish, perfume, hair dryer, face oil","Infallible Lip Makeup
Infallible Matte Resistance Liquid Lipstick",100,"[('Maybelline New York', 58), ('Garnier', 57)]","['Maybelline New York', 'Garnier']","[58, 57]"
#shortsfeed,hashtag,youtube,7/9/2025,588,1324977,"{'gen_z': np.float64(0.64), 'millennials': np.float64(0.36)}",['lifestyle'],"['bn-IN', 'hi', 'ur', 'en-US']",#shortsfeed,1,0,peak,Maintain visibility,"sunscreen, lipstick, comb, gua sha, perfume, contour, foundation, hair wax, hair dryer, serum, mascara, eyeliner, blush, eyeshadow, highlighter, moisturizer, concealer, loose powder, shampoo, hair oil, dry shampoo, body spray, shaving cream, bronzer, toner, matte lipstick, setting powder, primer, hair treatment, acne treatment, body serum, setting spray, night cream, eye serum, cream blush, tinted moisturizer, eye cream, body lotion, body butter, body scrub, body wash, body shimmer, body polish, hand cream, deodorant, lip liner, hair mask, hair serum, hair gel, hair growth serum, keratin treatment, hair brush, hair clip, hair tie, lip balm, brow pencil, eyebrow pen, eyebrow pencil, brightening serum, body mist, cream contour, beauty blender, conditioner, heat protectant spray, face mist, hydrating toner, lip gloss, shower gel, liquid lipstick, face mask, face powder, lip butter, lip crayon, compact powder, body moisturizer, hair spray, beard oil, eye makeup remover, makeup remover, makeup brush set, makeup brush, makeup palette, brush set, headband, powder blush, cream highlighter, pressed powder, powder contour, hair mist, exfoliator, eyelid primer, essential oil, lip pencil, face scrub, nail polish, foundation stick, lip tint, lip oil, lip mask, eye cream gel, body toner, lash adhesive, sheet mask, face oil, retinol cream, face primer, lip scrub, liquid foundation, body oil, body cream, foundation brush, curling iron, glossy lipstick, brow gel, waterproof mascara","UV Defender
Bright & Clear UV Serum Protector / Sunscreen SPF 50+",100,"[('Carita', 67), ('Valentino', 56), ('Maison Margiela', 53)]","['Carita', 'Valentino', 'Maison Margiela']","[67, 56, 53]"
#skincareroutine,hashtag,youtube,7/9/2025,536,205523,"{'gen_z': np.float64(0.67), 'millennials': np.float64(0.33)}","['general', 'lifestyle', 'health']","['id', 'en-IN', 'en', 'ur', 'hi', 'en-US']",#skincareroutine,0.25,-0.333,peak,Maintain visibility,"foundation, gua sha, serum, sunscreen, blush, comb, lip tint, toner, lipstick, eyeshadow, moisturizer, eye cream, lip balm, contour, mascara, bronzer, eyeliner, shampoo, body lotion, body scrub, body wash, body serum, acne treatment, lip liner, primer, nail polish, nail polish remover, face scrub, face mist, concealer, deodorant, perfume, face oil, lip butter, face cleanser, conditioner, hair mask, makeup remover, setting spray, massage oil, lip gloss, exfoliator, face mask, night serum, hair serum, sunblock, highlighter, cream highlighter, brow pencil, cream eyeshadow, eyebrow pen, eyebrow pencil, body cream, facial foam, body mist, jade roller, eye serum, lip mask, hair brush, clay mask, foot cream, powder highlighter, hyaluronic acid serum, beard oil, hair treatment, body polish, night cream, cream contour, lip oil, lip plumper, headband, hair oil, shower gel, micellar water, sheet mask, essential oil, lip pencil, hydrating toner, illuminator, setting powder, brightening body lotion, tinted moisturizer, makeup brush, makeup palette, lip scrub, body butter, hand cream, brightening serum, liquid lipstick, body shimmer, body exfoliator, detox mask, body oil, whitening cream, liquid eyeliner, foundation primer, keratin treatment, pressed powder","Infallible
32H FreshWear Foundation",100,"[('SkinCeuticals', 69), (""L'Oréal Paris"", 54)]","['SkinCeuticals', ""L'Oréal Paris""]","[69, 54]"
#glowup,hashtag,youtube,7/9/2025,533,399275,"{'gen_z': np.float64(0.66), 'millennials': np.float64(0.34)}","['lifestyle', 'health', 'general']","['zxx', 'en', 'hi', 'en-US']",#glowup,0,-0.333,declining,Too late,"body scrub, eyeliner, serum, perfume, toner, body toner, blush, lipstick, moisturizer, sunscreen, contour, night cream, face mask, foot cream, sheet mask, foundation, bronzer, lip balm, scalp treatment, highlighter, body oil, acrylic nails, acne treatment, shampoo, hair oil, body lotion, beard oil, deodorant, concealer, hyaluronic acid serum, primer, mascara, brow pencil, eyebrow pen, eyebrow pencil, eyeshadow, hand cream, hand mask, comb, face cleanser, face scrub, lip liner, lip scrub, setting powder, conditioner, sunblock, face mist, hydrating toner, shower gel, face powder, matte lipstick, compact powder, powder highlighter, hair mask, hair growth serum, body wash, exfoliating glove, eye cream, lip mask, hair serum, lip gloss, body mist, hair brush, gua sha, face roller, body butter, body shimmer, brow gel, exfoliator, body spray, micellar water, tinted moisturizer, body mask, setting spray, night serum, brightening body lotion, lip stain, lip oil, hair spray, heat protectant spray, hair wax, makeup brush, beauty blender, angled brush, lip tint, face oil, brightening serum, retinol cream, eye serum, face primer, eye makeup remover, makeup remover, liquid foundation, body cream, body moisturizer, foundation brush, hair gel, nail polish, cream blush, liquid lipstick, powder blush, loose powder, whitening cream, lip crayon, lip lacquer, blending brush, body perfume, keratin treatment","Matte Signature
Matte Signature Liner",100,"[('Garnier', 57), ('Valentino', 56), ('Helena Rubinstein', 53)]","['Garnier', 'Valentino', 'Helena Rubinstein']","[57, 56, 53]"
#hairtransformation,hashtag,youtube,7/9/2025,503,329450,"{'gen_z': np.float64(0.76), 'millennials': np.float64(0.24)}",['lifestyle'],"['en', 'es', 'en-US', 'zxx']",#hairtransformation,1,0,peak,Maintain visibility,"headband, hair treatment, shampoo, conditioner, primer, lip liner, mascara, eyeshadow, highlighter, blush, concealer, cream blush, hair brush, curling iron, foundation, brow pencil, brow gel, keratin treatment, hair mask, hair oil, scalp treatment, serum, toner, comb, lipstick, hair clip, hair dryer, hair spray, face mask, contour, hair detangler, eyeliner, hair mousse, face scrub, hair mist, hair serum, body scrub, hair strengthening mask, perfume, setting spray, hyaluronic acid serum, compact powder, shaving cream, dry shampoo","Elseve
Hyaluron Moisture Hydra Filling Night Cream 150ml",100,"[('Carita', 67), ('Matrix', 67), ('Aēsop', 60)]","['Carita', 'Matrix', 'Aēsop']","[67, 67, 60]"
#shortvideo,hashtag,youtube,7/9/2025,503,1508,"{'gen_z': np.float64(0.62), 'millennials': np.float64(0.38)}",['lifestyle'],"['hi', 'zxx']",#shortvideo,1,0.333,emerging,Hop on now,"sunscreen, foundation, serum, contour, bronzer, hair treatment, concealer, hair wax, hair dryer, eyeliner, highlighter, blush, deodorant, perfume, lipstick, body lotion, lip liner, eyeshadow, comb, hot brush, primer, moisturizer, whitening cream, scalp treatment, body serum, face mask, lip gloss, shampoo, hair clip, night cream, sunblock, body polish, nail polish, nail polish remover, curling iron, hair oil, mascara, foundation primer, hair spray, body wash, lip balm, compact powder, hair serum, toner, herbal cream, hair gel, body mist, keratin treatment, brow pencil, eyebrow pen, eyebrow pencil, body spray, cream contour, lip tint, acrylic nails, eyebrow powder, face powder, shower gel, lip oil, hair brush, body scrub, body cream, setting spray, lip butter, stick foundation, foundation stick, loose powder, beard oil, matte lipstick, headband, setting powder, body wash gel, brow gel, hair mask, lip crayon, acne treatment, sheet mask, liquid lipstick, makeup brush, hair cream, lip mask, conditioner, face primer, blending brush, brush set, body toner, lip plumper, face oil, eyelid primer, eye shadow palette, body moisturizer, powder contour, gel eyeliner, liquid eyeliner, lash curler, eyelash curler, body shimmer, brightening serum, makeup remover, glossy lipstick, cream blush, powder blush, eye makeup remover, hair growth serum, body oil, hand cream","UV Defender
Bright & Clear UV Serum Protector / Sunscreen SPF 50+",100,"[('Ralph Lauren Beauty', 53)]",['Ralph Lauren Beauty'],[53]
#haircut,hashtag,youtube,7/9/2025,499,2248394,"{'gen_z': np.float64(0.62), 'millennials': np.float64(0.38)}","['lifestyle', 'health', 'general']","['en-US', 'en', 'de', 'en-GB', 'hi', 'ur', 'en-IN', 'zxx']",#haircut,-0.083,0,declining,Too late,"toner, primer, hair treatment, keratin treatment, conditioner, hair brush, shampoo, serum, foundation, lipstick, highlighter, makeup brush, eyeliner, hair serum, comb, mascara, contour, blush, foundation primer, hair oil, hair mask, concealer, hair dryer, beard oil, scalp treatment, face cleanser, sunscreen, eyeshadow, hair spray, hair gel, hair wax, hair clip, face scrub, face mask, hydrating mask, body polish, cream eyeshadow, moisturizer, curling iron, hair cream, loose powder, headband, hair styling cream, hair pomade, perfume, lip gloss, hair vitamin spray, shaving cream, hair mist, beauty blender, eyeshadow brush, liquid lipstick, waterproof mascara","Glycolic Bright
5% Glycolic Acid Peeling Toner For Instant Glowing Skin",100,"[('Carita', 67), ('Garnier', 57), ('Armani Beauty', 54)]","['Carita', 'Garnier', 'Armani Beauty']","[67, 57, 54]"
#makeup tutorial,hashtag,youtube,7/9/2025,495,32478748,"{'gen_z': np.float64(0.42), 'millennials': np.float64(0.58)}",['lifestyle'],"['en', 'hi', 'es', 'en-GB', 'en-US', 'en-CA', 'ur', 'en-IN', 'bn', 'hi-Latn', 'zxx', 'ml', 'mr', 'en-AU']",#makeup tutorial,0,0,declining,Too late,,,0,"[('Urban Decay', 60), ('Lancôme', 55), ('Yves Saint Laurent Beauté', 55)]","['Urban Decay', 'Lancôme', 'Yves Saint Laurent Beauté']","[60, 55, 55]"
#beauty,hashtag,youtube,7/9/2025,494,44001722,"{'gen_z': np.float64(0.56), 'millennials': np.float64(0.44)}","['lifestyle', 'general', 'health']","['en-US', 'en', 'hi', 'en-IN', 'en-GB', 'id', 'de-AT', 'ur', 'zxx', 'es-419', 'en-CA', 'pt', 'mr', 'ru', 'ta', 'ko', 'ne', 'de']",#beauty,0,0,declining,Too late,"foundation, lipstick, mascara, eyeshadow, blush, gua sha, comb, eye cream, lip balm, eyeliner, highlighter, concealer, powder highlighter, body balm, hair treatment, serum, bronzer, body scrub, lip gloss, cream blush, powder blush, contour, brightening serum, primer, sunscreen, cushion foundation, matte lipstick, perfume, toner, moisturizer, face mist, headband, body cream, shampoo, lip liner, lip crayon, foundation stick, lip tint, brow gel, setting powder, makeup brush, beauty blender, brush set, hair clip, keratin treatment, face mask, conditioner, face primer, waterproof mascara, sheet mask, curling iron, setting spray, hair mask, scalp treatment, lip butter, tinted moisturizer, hair dryer, body oil, body lotion, body shimmer, body mist, face oil, lip oil, hair oil, acrylic nails, face palette, powder contour, hand cream, makeup remover, body wash, lip brush, makeup palette, body perfume, exfoliator, lip pencil, nail polish, nail polish remover, hair serum, face scrub, body serum, hyaluronic acid serum, dry shampoo, loose powder, liquid foundation, body polish, massage oil, illuminator, hand mask, brow pencil, liquid eyeliner, stick foundation, liquid lipstick, cream eyeshadow, eyebrow pen, eyebrow pencil, pressed powder, eyebrow powder, compact powder, hair spray, hair growth serum, sunblock, facial foam, face powder, hydrating toner, lip plumper, blending brush, kabuki brush, deodorant, lip lacquer, hair brush, acne treatment, lip mask, gel eyeliner, night cream, essential oil, lash curler, eyelash curler, cream highlighter, beard oil, night serum, body spray, shower gel, whitening cream, brightening body lotion, lip stain, eyelash serum, lip conditioner, body mask, hair gel, hair cream, eye shadow palette, face cleanser, cream contour, retinol cream, eye serum, lip scrub, eye makeup remover, body moisturizer, foundation brush, body exfoliator, micellar water, glossy lipstick, detox mask, concealer brush, shaving cream, clay mask, foundation primer, hair tie, hydrating body cream, kohl eyeliner","Infallible
32H FreshWear Foundation",100,"[('Carita', 67), ('Valentino', 56), ('Urban Decay', 55)]","['Carita', 'Valentino', 'Urban Decay']","[67, 56, 55]"
#makeupshorts,hashtag,youtube,7/9/2025,490,3169393,"{'gen_z': np.float64(0.8), 'millennials': np.float64(0.2)}",['lifestyle'],"['hi', 'en', 'en-IN', 'ur']",#makeupshorts,1,0.333,emerging,Hop on now,"lipstick, foundation, concealer, contour, blush, bronzer, eyeliner, comb, primer, liquid lipstick, eyeshadow, highlighter, liquid foundation, mascara, brush cleaner, moisturizer, lip liner, setting powder, face palette, serum, sunscreen, brightening serum, foundation stick, lip gloss, hand cream, face powder, lip balm, cream contour, matte lipstick, makeup organizer, face roller, setting spray, loose powder, compact powder, lip crayon, powder blush, body balm, eye cream, beauty blender, lip pencil, lip oil, gel eyeliner, body shimmer, night cream, hair oil, shower gel, makeup remover, makeup brush, brow pencil, pressed powder, perfume, nail polish, cream blush, foundation brush, powder brush, stick foundation, tinted moisturizer, face mask, eye shadow palette, powder contour, brush set, face oil, eyelid primer, waterproof mascara, makeup palette, body lotion, body oil, body mist, lash curler, eyelash curler, illuminator, cushion foundation, eyebrow pen, eyebrow pencil, makeup sponge, false eyelashes, hydrating gel, eyeshadow brush","Infallible Lip Makeup
Infallible Matte Resistance Liquid Lipstick",100,"[('CeraVe', 67), ('Garnier', 57), ('Helena Rubinstein', 53)]","['CeraVe', 'Garnier', 'Helena Rubinstein']","[67, 57, 53]"
#makeupartist,hashtag,youtube,7/9/2025,488,282102,"{'gen_z': np.float64(0.54), 'millennials': np.float64(0.46)}",['lifestyle'],"['en-GB', 'hi', 'en-IN', 'en', 'id', 'zxx']",#makeupartist,1,0.333,emerging,Hop on now,"contour, lipstick, eyeliner, eyeshadow, hair mask, blush, serum, perfume, foundation, sunscreen, comb, bronzer, compact powder, mascara, moisturizer, concealer, loose powder, matte lipstick, highlighter, makeup brush, setting spray, powder brush, brow pomade, toner, lip liner, illuminator, lip brush, hand cream, pressed powder, lip tint, primer, body lotion, body shimmer, lip gloss, lip plumper, stick foundation, brow pencil, makeup sponge, foundation primer, shampoo, brow gel, lip balm, gel eyeliner, liquid foundation, waterproof mascara, body scrub, hair treatment, liquid lipstick, setting powder, cream eyeshadow, eyebrow pen, eyebrow pencil, brush set, face mask, sunblock, makeup palette, hair oil, face powder, powder blush, body mist, curling iron, makeup remover, liquid eyeliner, body serum, hydrating mask, powder highlighter, foundation stick, hair dryer, face palette, foundation brush, brightening serum, nail polish, eye cream, angled brush, essential oil, face mist, pore minimizer, acne treatment, exfoliator, lip conditioner, conditioner, lip mask, lip oil, lip crayon, night cream, hair brush, face scrub, hydrating toner, hair styling cream, eyebrow powder, headband, keratin treatment, face primer, cream blush, cream contour, body oil, lip pencil, detox mask, scalp treatment, hyaluronic acid serum, hair clip","Infallible Lip Makeup
Infallible Matte Resistance Liquid Lipstick",100,"[('Maybelline New York', 53)]",['Maybelline New York'],[53]
#ootd,hashtag,youtube,7/9/2025,453,51261,"{'gen_z': np.float64(0.52), 'millennials': np.float64(0.48)}",['lifestyle'],"['hi', 'en', 'en-IN', 'zxx', 'en-GB', 'en-US', 'en-CA']",#ootd,1,0,peak,Maintain visibility,"lipstick, eyeliner, eyeshadow, highlighter, blush, primer, lip balm, lip scrub, lip mask, perfume, serum, hair serum, contour, bronzer, comb, moisturizer, sunscreen, mascara, foundation, lip pencil, body oil, shampoo, conditioner, lip liner, hair treatment, body mist, body spray, lip gloss, facial foam, concealer, lip oil, face mist, gua sha, gel eyeliner, liquid eyeliner, hair spray, lip stain, hair growth serum, exfoliator, setting spray, hair oil, illuminator, body shimmer, toner, face mask, sheet mask, eye cream, night cream, face oil, face scrub, brightening serum, retinol cream, eye serum, face primer, eye makeup remover, setting powder, makeup remover, liquid foundation, tinted moisturizer, body lotion, hand cream, body cream, body moisturizer, foundation brush","Infallible Lip Makeup
Infallible Matte Resistance Liquid Lipstick",100,"[('Garnier', 57), ('Helena Rubinstein', 53)]","['Garnier', 'Helena Rubinstein']","[57, 53]"
#trendingshorts,hashtag,youtube,7/9/2025,445,1121510,"{'gen_z': np.float64(0.7), 'millennials': np.float64(0.3)}",['lifestyle'],['hi'],#trendingshorts,1,0.333,emerging,Hop on now,"gua sha, contour, lipstick, hair treatment, foundation, hair wax, hair dryer, eyeliner, highlighter, blush, perfume, face mask, face scrub, body scrub, body wash, whitening cream, comb, moisturizer, sunscreen, concealer, lip liner, mascara, serum, primer, acne treatment, setting spray, shampoo, toner, lip gloss, night cream, eye serum, face powder, lip balm, lip tint, matte lipstick, eyeshadow, foundation stick, hair oil, hair serum, body lotion, hair clip, body mist, eyebrow powder, sheet mask, nail polish, beauty blender, hair mask, liquid lipstick, lash curler, eyelash curler, conditioner, lip scrub, brow pencil, waterproof mascara, loose powder, eye cream, headband, lip oil, brightening serum, beard oil, curling iron, body wash gel, keratin treatment, face palette, bronzer, deodorant, essential oil, face mist, hair gel, stick foundation, hair spray, lip conditioner, false eyelashes, lip mask, eye cream gel, body shimmer, body oil, lip crayon, hair growth serum, setting powder, eyebrow pen, eyebrow pencil","Infallible Lip Makeup
Infallible Matte Resistance Liquid Lipstick",100,"[('Redken', 67), ('Maison Margiela', 53)]","['Redken', 'Maison Margiela']","[67, 53]"
#fit,hashtag,youtube,7/9/2025,441,0,"{'gen_z': np.float64(0.69), 'millennials': np.float64(0.31)}",[],[],#fit,1,0.333,emerging,Hop on now,"gua sha, contour, sunscreen, body mist, body lotion, body butter, body scrub, body cream, body spray, toner, primer, eyeshadow","UV Defender
Bright & Clear UV Serum Protector / Sunscreen SPF 50+",100,"[('Redken', 67), ('Prada', 60)]","['Redken', 'Prada']","[67, 60]"
#blush,hashtag,youtube,7/9/2025,432,20016807,"{'gen_z': np.float64(0.42), 'millennials': np.float64(0.58)}",['lifestyle'],"['en', 'hi', 'en-US', 'en-GB', 'es', 'en-AU', 'en-IN']",#blush,1,0.333,emerging,Hop on now,"blush, lipstick, eyeshadow, bronzer, contour, concealer, primer, lip liner, comb, foundation, eyeliner, highlighter, moisturizer, mascara, powder highlighter, lip gloss, loose powder, cream blush, illuminator, cream contour, cream highlighter, setting spray, makeup brush, serum, lip stain, lip tint, perfume, foundation primer, shampoo, sunscreen, beauty blender, matte lipstick, liquid foundation, powder blush, lip butter, face powder, lip balm, makeup remover, makeup palette, hair dryer, toner, foundation brush, lip conditioner, conditioner, lip plumper, brow pencil, eyebrow pen, eyebrow pencil, brightening serum, liquid lipstick, makeup sponge, liquid eyeliner","Infallible Lip Makeup
Infallible Matte Resistance Liquid Lipstick",100,"[('CeraVe', 67), ('Ralph Lauren Beauty', 63), ('3CE by Stylenanda', 53)]","['CeraVe', 'Ralph Lauren Beauty', '3CE by Stylenanda']","[67, 63, 53]"
#beautytips,hashtag,youtube,7/9/2025,418,465660,"{'gen_z': np.float64(0.49), 'millennials': np.float64(0.51)}","['health', 'lifestyle']","['en-US', 'en-IN', 'ur', 'en']",#beautytips,0,0.333,peak,Maintain visibility,"gua sha, comb, sunscreen, foundation, blush, serum, contour, eyeshadow, highlighter, lipstick, eyeliner, headband, face mask, face scrub, body scrub, body wash, whitening cream, primer, moisturizer, perfume, lip balm, mascara, concealer, shampoo, conditioner, hair dryer, bronzer, body lotion, body shimmer, lip gloss, lip plumper, nail polish, nail polish remover, hair serum, foundation primer, body serum, lip liner, hyaluronic acid serum, face palette, eyeshadow brush, kabuki brush, hand cream, hair mist, illuminator, exfoliator, body mask, hair oil, toner, face mist, hydrating toner, liquid lipstick, liquid eyeliner, waterproof mascara, makeup brush, loose powder, pressed powder, sunblock, makeup palette, face powder, matte lipstick, setting powder, compact powder, powder highlighter, hair clip, setting spray, powder blush, hair mask, cream contour, hair growth serum, exfoliating glove, eye cream, beauty blender, body oil, brow pencil, eyebrow pen, eyebrow pencil, night cream, body mist, cream blush, body polish, brow gel, sheet mask, deodorant, essential oil, hair treatment, lip oil, lip butter, stick foundation, brow pomade, foundation stick, hair brush, acne treatment, micellar water, makeup remover, lip mask, jade roller, lash curler, eyelash curler, hair tonic, compact concealer, face oil, gel eyeliner, massage oil, kohl eyeliner, curling iron, keratin treatment","Glycolic Bright
Anti-Dark Spot Exfoliant Peel",100,"[('Redken', 67), ('Viktor & Rolf', 54), ('Helena Rubinstein', 53)]","['Redken', 'Viktor & Rolf', 'Helena Rubinstein']","[67, 54, 53]"
#aesthetic,hashtag,youtube,7/9/2025,414,926663,"{'gen_z': np.float64(0.49), 'millennials': np.float64(0.51)}",['lifestyle'],"['en', 'zxx', 'en-IN', 'en-US', 'hi', 'es', 'en-GB']",#aesthetic,1,0,peak,Maintain visibility,"body scrub, eyeliner, blush, face mask, moisturizer, sunscreen, lipstick, contour, perfume, body mist, lip liner, concealer, lip balm, scalp treatment, hair clip, mascara, serum, highlighter, hand cream, bronzer, shampoo, hair oil, body lotion, night cream, setting spray, acne treatment, eyeshadow, hand mask, toner, comb, hair mask, face mist, hydrating toner, body toner, foundation, cream blush, hair growth serum, body wash, exfoliating glove, hair brush, primer, hair treatment, lip scrub, conditioner, hair serum, hair spray, nail polish, tweezers, concealer brush, curling iron, hair tie, hair dryer, exfoliator, body oil, body shimmer, body spray, face powder, lip gloss, eye cream, eye cream gel, body serum, deodorant, setting powder","Matte Signature
Matte Signature Liner",100,"[('Essie', 60), ('Garnier', 57)]","['Essie', 'Garnier']","[60, 57]"
#contour,hashtag,youtube,7/9/2025,409,1296477,"{'gen_z': np.float64(0.53), 'millennials': np.float64(0.47)}",['lifestyle'],"['en', 'ml', 'hi', 'en-GB', 'ur', 'en-US', 'ar', 'en-IN']",#contour,2,0.667,emerging,Hop on now,"contour, concealer, blush, highlighter, bronzer, foundation, lipstick, moisturizer, primer, mascara, eyeliner, eyeshadow, powder highlighter, comb, lip gloss, cream blush, illuminator, cream contour, cream highlighter, setting spray, makeup brush, powder contour, foundation primer, shampoo, stick foundation, foundation brush, foundation stick, curling iron, lip liner, liquid lipstick, beauty blender, eye cream, lip balm, liquid foundation, pressed powder, perfume, conditioner, face powder, powder blush, makeup palette, face mask, lip mask, face roller, matte lipstick, toner, serum, compact powder, face palette, sunscreen, lip crayon, loose powder, sunblock, cream eyeshadow, brush set, makeup brush set, setting powder","Infallible
Full Wear More Than Concealer",100,"[('CeraVe', 67), ('Garnier', 57), ('Maybelline New York', 53)]","['CeraVe', 'Garnier', 'Maybelline New York']","[67, 57, 53]"
#viralshorts,hashtag,youtube,7/9/2025,394,1611614,"{'gen_z': np.float64(0.47), 'millennials': np.float64(0.53)}",['lifestyle'],"['hi', 'ur', 'en', 'en-US']",#viralshorts,0.5,1,emerging,Hop on now,"gua sha, contour, concealer, primer, hair wax, hair dryer, foundation, eyeliner, highlighter, blush, face mask, perfume, face scrub, body scrub, body wash, whitening cream, comb, lipstick, lip liner, hair treatment, serum, body serum, hair serum, moisturizer, sunscreen, lip balm, scalp treatment, shampoo, hair oil, bronzer, body lotion, body shimmer, lip gloss, night cream, face powder, lip tint, matte lipstick, mascara, eyeshadow, foundation stick, foundation primer, nail polish, hand cream, body mist, setting spray, stick foundation, dry shampoo, keratin treatment, exfoliator, night serum, cream contour, essential oil, acne treatment, conditioner, heat protectant spray, toner, face mist, hydrating toner, body toner, acrylic nails, lash curler, eyelash curler, eyebrow powder, lip scrub, brow pencil, waterproof mascara, liquid lipstick, hair mask, loose powder, eye cream, hair brush, setting powder, hair clip, lip crayon, beard oil, compact powder, hair cream, face palette, powder blush, makeup remover, hair spray, lip pencil, pressed powder, makeup brush, eyebrow pen, eyebrow pencil, clay mask, blending brush, brush set, body oil, body cream, liquid foundation, beauty blender, body moisturizer, makeup palette, powder contour, gel eyeliner, liquid eyeliner, illuminator, sunblock, curling iron, smoothing cream, hair gel","Infallible
Full Wear More Than Concealer",100,"[('CeraVe', 67), ('Aēsop', 60), ('Garnier', 57)]","['CeraVe', 'Aēsop', 'Garnier']","[67, 60, 57]"
#makeuphacks,hashtag,youtube,7/9/2025,392,170397,"{'gen_z': np.float64(0.72), 'millennials': np.float64(0.28)}","['lifestyle', 'health']","['en', 'hi']",#makeuphacks,1,0.333,emerging,Hop on now,"contour, bronzer, sunscreen, foundation, blush, comb, concealer, lipstick, eyeliner, eyeshadow, highlighter, matte lipstick, mascara, lip liner, lip balm, liquid lipstick, face palette, primer, sunblock, serum, lip gloss, foundation stick, foundation brush, hair mist, loose powder, moisturizer, perfume, cream contour, shampoo, powder blush, lip tint, nail polish, acrylic nails, conditioner, hair gel, brow gel, setting spray, face primer, cream blush, lash curler, eyelash curler, compact powder, hair serum, toner, face scrub, false eyelashes, beauty blender, lip pencil, powder brush, powder highlighter, lip crayon, setting powder, tinted moisturizer, gel eyeliner, eye shadow palette, brow pencil, illuminator, cream highlighter, stick foundation, body lotion, waterproof mascara, makeup palette, eyebrow pen, eyebrow pencil, compact concealer, liquid eyeliner, hair cream, makeup brush","UV Defender
Bright & Clear UV Serum Protector / Sunscreen SPF 50+",100,"[('NYX Professional Makeup', 57), ('Maybelline New York', 53), ('3CE by Stylenanda', 53)]","['NYX Professional Makeup', 'Maybelline New York', '3CE by Stylenanda']","[57, 53, 53]"
#haircolor,hashtag,youtube,7/9/2025,380,3171571,"{'gen_z': np.float64(0.74), 'millennials': np.float64(0.26)}","['lifestyle', 'food']","['en-US', 'en', 'ur', 'ru', 'en-IN', 'ta', 'hi', 'id']",#haircolor,0.5,0,peak,Maintain visibility,"hair treatment, serum, foundation, lipstick, highlighter, makeup brush, toner, eyeliner, keratin treatment, shampoo, hair mask, scalp treatment, eyeshadow, hair oil, comb, perfume, primer, mascara, contour, blush, foundation primer, concealer, conditioner, curling iron, headband, face scrub, hair cream, hair serum, hair clip, lip gloss, hair vitamin spray, shaving cream, cream blush, powder blush","Elseve
Hyaluron Moisture Hydra Filling Night Cream 150ml",100,"[('Urban Decay', 55)]",['Urban Decay'],[55]
