trend_id,token_type,platform,date,volume,engagement,unique_creators,audience_signals,category,geo
#WeLove3000Cry,hashtag,x,8/19/2025,,500,"['BeydaMancias', 'Kattiana2023', 'lea1379303', 'crychingon', 'Cryboyer007', 'MarMatiascry', 'sharo53726', 'XBiebsCry', 'mmtdurden', 'Wary_Dom', 'arley2901', 'Karlaapmv_x', 'Maritza29960475', 'Saturniana11']","{'gen_z': 0.07, 'millennials': 0.93}",,Mexico
#Lingling7YActressJourney,hashtag,x,8/19/2025,229000,898,"['clrkort', 'PrivilegeBoah', 'MaCarmen_jara', 'Time4Moonlight', 'Sa_ke15', 'si23541', 'PrincessnLO', 'llk0511511', 'SoulAnd99965', 'Incanto0711', 'KlayleeJir70471', 'LO_YellowAries']","{'gen_z': 0.14, 'millennials': 0.86}",,Malaysia
#StarAcademy,hashtag,x,8/20/2025,,4797,"['voguesfetish', 'FrostyQuinn94', 'MademoiDamee', 'ArnaqueDuCO2', 'electvod', 'Djou_m_', 'MINIKAMOON', 'David430Davis', '7Incorruptibles', 'CsapeForce4', 'khalifa_w20971', 'lenieteam', 'wri34k', 'u_teenagers', 'AllianceForce7', 'Khilaky_2', 'birdy_5847']","{'gen_z': 0.75, 'millennials': 0.25}",,Paris
Tory,keyword,x,8/20/2025,29000,1454,"['epicrell', 'sportmarketing1', '11cemetarygates', 'HodmanJohn', 'DigbyStrong', 'logic_b0mb', 'AnnBurnip', 'sailwithrob', 'gerdmullah', 'himajinSKY2', 'RandellSid69961', 'cheesewipe70442', 'picklesdesu', '4thxjuly', 'Sulla7890', 'Todayxtoday', 'Callan4077', 'tommy54w', 'markythesparky9', 'MamMie_Tory']","{'gen_z': 0.77, 'millennials': 0.23}",,United Kingdom
#Lingling7YActressJourney,hashtag,x,8/20/2025,229000,935,"['clrkort', 'PrivilegeBoah', 'Time4Moonlight', 'KlayleeJir70471', 'PrincessnLO', 'Incanto0711', 'shepherdv', 'SoulAnd99965', 'si23541', 'Sa_ke15', 'MaCarmen_jara', 'llk0511511', 'LO_YellowAries']","{'gen_z': 0.52, 'millennials': 0.48}",,Malaysia
Nate Eaton,keyword,x,8/20/2025,,3556,"['DGensicki', 'LordLambdaThree', 'TruckBon', 'RickPierce02', 'Ronnyvee55', 'Kid_From_Quincy', 'RyanHallBallin', 'JMoney617_', 'Sopee_', 'Ringo1256', 'iinangelo', 'sarahsideline', 'J_Reed20', 'jonesythedude', 'RanseyO', 'PoisonHan_', 'MM_Enjoyer', 'alexjweiner']","{'gen_z': 0.02, 'millennials': 0.98}",,United States
billybabe is home,keyword,x,8/20/2025,,8476,"['SSS_25982', 'pongthaijaroen6', 'YuIro0609', 'lovealwz', 'Sarayu_try', 'billybabebr', 'sasm7909', 'kwan_tap85', 'myyoukook97', 'MumuTofu9498__', 'elfromU', 'anwaachi']","{'gen_z': 0.69, 'millennials': 0.31}",,Malaysia
Big Brother,keyword,x,8/21/2025,23000,1445,"['RoiskyRoyce', 'vetoliscious', 'floolp', 'jakob_va', 'ikedadaiki_', 'TommyJrB', 'bb__bestie', 'ObinnaXLE', 'JordanBrace8', 'PatsFan0687', 'didCarly', 'tf0620', 'AMOU_JERRY', 'TheChikory', 'EmenugaChijioke', 'stonecoldblk', 'JokersBBUpdates', 'ivypetalz', 'ClamChowderLord']","{'gen_z': 0.29, 'millennials': 0.71}",,United States
Middle East,keyword,x,8/21/2025,32000,90,"['transilienceai', 'JokerSF77', 'samdarrko', 'racistmcneilly', 'CalMan007', 'grok', 'jitin_pillai', 'veeryodha923942', 'UncleBuckbroken', 'PoliUnLimited', 'ConnManFrmDaNap', 'aniol', 'DrAshishMahobi1', 'UntergangGang', 'mostafaalnjjar', 'shamsilawal446', 'AkKr38159858', 'Yoginprakash1', 'byzantinetx']","{'gen_z': 0.45, 'millennials': 0.55}",,Malaysia
Cars 4,keyword,x,8/21/2025,,184363,"['LightslicerGP', 'Dylan_Flp', 'Vasillios12', 'TheCarsFan', 'quetan_ta', 'spiderdoraemon', 'OMODARATAN21', 'freemanaa9816', 'grok', 'udeochusp', 'AmericaInvests', 'TheBetterPath_', 'Manan_k13', 'SpiderApples41', 'Kalesbi_95', 'reden_vercetti', 'Calvin3D2Y', '_ggonz4', 'FilmCapitalist', 'HurricaneTemple']","{'gen_z': 0.89, 'millennials': 0.11}",,Paris
#ZeeNuNewCrazyInLoveConcert,hashtag,x,8/22/2025,54000,211,"['winktmw', 'DarlingAana', 'gamlkiop', 'pemai28halove', 'givernymone_t', 'myzunshinee', 'doublenunuchan', 'pen_mha', 'Fangseven', 'cutiewnn', 'suprslphth', 'LS1998LS', 'p_kaekae', 'Whale1796', 'pranck_09', 'DubeyzaHuanca', 'yzyzeenunew', 'znn20069', 'alexandria_5529']","{'gen_z': 0.68, 'millennials': 0.32}",,Thailand
Boris,keyword,x,8/22/2025,20000,442,"['alex40327746', 'KlausWahrheit', 'pages_and', 'Yarper8888', 'NickDav75301704', 'Mojca77748727', 'JouniRahk', 'LaterTruma80538', '2000_beep', 'Sandiag42664598', 'Zynismusexperte', 'FehringerMartin', 'eRotation', 'EhliNadene9107', 'therealgiggerl', 'Zeitungsjunge2', 'EvenLuckier', 'Nonodrivr', 'Pietbull47', 'onlysushine']","{'gen_z': 0.07, 'millennials': 0.93}",,United Kingdom
Rooney,keyword,x,8/22/2025,10000,384,"['catchypiccolino', 'Mr__Billy', 'geniustesha10', 'jamrick_', 'sanjeev911', '_beingNumb', 'AFC_Cookie_', 'DaveDave70990', 'WayneAndersonJ1', 'MosesEdafe26199', 'wancrnls', 'ndet_0', 'LBeaunoir01', 'ToonPolls', 'DJF5315', 'Eidristaiwo', 'honestm4tty', 'MrXtrade', 'malo_UTD', 'Gren90']","{'gen_z': 0.12, 'millennials': 0.88}",,United Kingdom
Chargers,keyword,x,8/22/2025,74000,410521,"['good_tweets_ted', 'ChargersRuined', 'SdpEmanuel', 'Chargers_Zone', 'afterglowabby_', 'btysonmd', 'TaylorTots86', 'nflpress_digest', 'VerloniousFunk', 'alltoocharles', 'AmericaInvests', 'derpcoconut24', 'hearinladotcom', 'hbtCHIEFS', 'sharma_S9', 'ambowski', 'arm4nrrr777', 'himmovie', 'Druly522', 'CGflipking']","{'gen_z': 0.75, 'millennials': 0.25}",,Mexico
Worthy,keyword,x,8/22/2025,50000,160,"['prominent0903', 'TaylorTots86', 'nflpress_digest', 'ChiT0wnSports23', 'D_OSheil', 'briansissy1', 'BobLobl90389332', 'RicoModernWorld', 'RastaCryptoMan', 'Bruins6477', 'ImShekhawat07', 'wrigjo01', 'malekinkysub', 'el_diamante3', 'ryangraver7341', 'tarat_211', 'leslievern1', 'xxxxxxButtercup', 'MoonObelisks']","{'gen_z': 0.64, 'millennials': 0.36}",,Mexico
Western United,keyword,x,8/23/2025,,191669,"['IsraelMilitaryC', 'DPhimphisane', 'thewswpost', 'footballvic', 'NickGalatas', 'AmericaInvests', 'azulabetter', 'PengAmy1', 'herwaysports', 'GileArkinon', 'the_stumpy', 'abcsport', 'The_JBS', 'CosmicMatt92', 'joeylynchy', 'wests_glory', 'ArthurKiousis', 'georgechocola', 'maphumanintent']","{'gen_z': 0.07, 'millennials': 0.93}",,Australia
Worthy,keyword,x,8/23/2025,55000,222,"['Quis1of1', 'araburuonyanco', 'Juju2_7_2_', 'KitzyWitzy', 'qwiket_nfl', 'D26585421D', 'Ahmed__Rufai', 'boxedlunch95', 'RestlessRagnar', 'luckyse7ens1', '247Grizzly', 'ChiefnMusicCity', 'PrimeFFL', 'nflpress_digest', 'SebastianW15210', 'Riddickownsyou', 'vivi_yuya', 'Taylor_Witt', 'Ceezcarter_', 'RipKobe242481']","{'gen_z': 0.23, 'millennials': 0.77}",,United States
#idolFactoryTH,hashtag,x,8/23/2025,57000,856,"['PSac_FreenBecky', 'whatifering', 'beckyyy_unaia', 'Mariam61804259', 'Vayo_Bleu0805', 'BelovedxFB', 'Saint_Billy_BLB', 'Becsmilktea', 'FernandaSocola', 'sky_n_freen', 'PhuongThao1217', 'kwan_tap85', 'LauraD4vil4', 'thisisdobleu', 'miduR_', 'prado_nilda', 'bobo_2580']","{'gen_z': 1.0, 'millennials': 0.0}",,Mexico
Department of War,keyword,x,8/23/2025,102000,79,"['rtaenglish1', 'IrinaSeverin', 'TheSecretPony', 'sarahyokokawa', 'AboundingMyths', 'rk_suganthan', 'KarylTheCat', 'SeaLion_799', 'AzorInfo', 'Warrior6677799', 'KCRG', 'dawnu56', 'ectanker', '_sab_shubh_ho_', 'MaxxWinter', 'WillUK1776', '12OnYourSide', 'Kwame19888891', 'laughing747']","{'gen_z': 0.32, 'millennials': 0.68}",,Australia
billybabe is home,keyword,x,8/23/2025,,8481,"['YuIro0609', 'billybabebr', 'pongthaijaroen6', 'anwaachi', 'myyoukook97', 'kwan_tap85', 'elfromU', 'lovealwz', 'SSS_25982', 'sasm7909', 'MumuTofu9498__', 'Sarayu_try']","{'gen_z': 0.3, 'millennials': 0.7}",,Malaysia
billybabe is home,keyword,x,8/24/2025,,8452,"['elfromU', 'pongthaijaroen6', 'MumuTofu9498__', 'billybabebr', 'lovealwz', 'SSS_25982', 'YuIro0609', 'myyoukook97', 'sasm7909', 'anwaachi', 'Sarayu_try', 'kwan_tap85']","{'gen_z': 0.07, 'millennials': 0.93}",,Malaysia
Worthy,keyword,x,8/24/2025,52000,448,"['wannabejake9', '0xabys', 'RickieRicCardo', 'D_OSheil', 'KapilV_B', 'prettyinpa1n', 'melodante12548', 'jake_jons', 'abby_love4ever', 'elchurcho64', 'GothamHero_', 'tarat_211', 'abellanam', '7amadabsi', 'amykhaingmin']","{'gen_z': 0.17, 'millennials': 0.83}",,Totonto
IdolFactory Treat FB Better,keyword,x,8/24/2025,32000,846,"['KPottzo', 'AlFB_LOVE', 'Cassie_sone', 'Leccis2', 'BelovedxFB', 'ParulNi84747170', 'PhuongThao1217', 'irazema_ma', 'molecules87', 'Vayo_Bleu0805', 'miduR_', 'sal_freenbeck', 'CUABU_FB', 'FB_enthusiast', 'iribe00', 'Mariam61804259', 'PSac_FreenBecky']","{'gen_z': 1.0, 'millennials': 0.0}",,Malaysia
Charlotte Cardin,keyword,x,8/25/2025,,2008,"['Altesse64', 'okayyy0210', 'WEPremiere', 'wri34k', 'cclolita22', 'SamSolissss', 'emmaaaaa13', 'db_matilde', 'BFMTV', 'Dilatelarathe', 'voguesfetish', 'gossy16', 'CallMeLovatics', 'lenieteam', 'kalisa828893', 'easiertobabylon', 'Khilaky_2', 'BFMTV_People', 'LeMagStarAc', 'S0MAERICAN']","{'gen_z': 0.66, 'millennials': 0.34}",,Paris
#anpoconf_Tokyo,hashtag,x,8/25/2025,,2417,"['bandainokairai1', 'hatara9_9ruma', 'mu_fantom', 'Sogekisyu01', 'KISARAG21575259', '4_ykk', 'F100TMW', 'MasaruJsdf', 'anpoconf', 'CdZwn0', 'LeeV23313810', '560_krush', 'KAME65437759']","{'gen_z': 0.46, 'millennials': 0.54}",,Japan
Duchess of Kent,keyword,x,8/25/2025,18000,392,"['geraldi79421313', 'MrsFHarbottle', 'brndwashington', '9aCedarCourt', 'pluckiepluck', 'day156324', 'paulnickersonuk', 'kamjoe3', 'KRMGtulsa', 'Geraldi67883608', 'MeganHa40250780', 'truckindiesel', 'JohnMcK42214', 'utahagen', 'brozovicbasic', 'omega_paladin', 'troyrecord', 'Anthea143289202']","{'gen_z': 0.37, 'millennials': 0.63}",,Australia
Alice Springs,keyword,x,8/26/2025,,1611,"['Oracle285684417', 'CherryA55893558', 'Maggie_Perry6', 'entropy_enjoyer', 'Skyjacksonic68', 'Stayseaok', 'bluenaomi', 'RoadknightThe', 'AubertAustralia', 'jarodhitchcock', 'AUSNIAN', 'Orange_Guy_420', 'TonBased1', 'oxley8150', 'ReadyPen3', 'markede05626239', 'hereticaliberal', 'bandtistbraden', 'Oliver1330776']","{'gen_z': 0.63, 'millennials': 0.37}",,Australia
Socceroos,keyword,x,8/26/2025,,9427,"['serieAchronpod', 'jordanspurcell', 'SBSSportau', 'Socceroos', 'AlexfromMelb', 'maimaidenden', 'cmail_sport', 'Footbal64150902', 'codefootballau', 'CCMariners', 'RaneroAndres', 'wswanderersfc', 'USMNTfanatics16', 'arcadia441', 'CosmicMatt92', 'heraldsunsport', 'Adopta1Indigena', 'RocBSyd']","{'gen_z': 0.78, 'millennials': 0.22}",,Australia
#ThatSummerSeries,hashtag,x,8/26/2025,12000,1723,"['aiishizes', 'kkhunkonmek', 'ploy_sonsawan02', 'nnuttobaekly', 'yywwppgmnfwnst', 'squarrium', '_5thmonth', 'candy_bombam', 'firstsnowiie', 'melinmin', 'vvaternnn', 'rubyilesi', 'AllPrince_7', 'mayymsy', 'caidideo', 'TicketsMeena', 'pstmnrp', 'fferndammm', 'WinnySatangBR']","{'gen_z': 0.64, 'millennials': 0.36}",,Thailand
IdolFactory Treat FB Better,keyword,x,8/27/2025,30000,749,"['AlFB_LOVE', 'Mariam61804259', 'FB_enthusiast', 'ParulNi84747170', 'miduR_', 'iribe00', 'PhuongThao1217', 'Leccis2', 'molecules87', 'irazema_ma', 'Vayo_Bleu0805', 'sal_freenbeck', 'Cassie_sone', 'whatifering', 'KPottzo', 'CUABU_FB', 'PSac_FreenBecky', 'BelovedxFB']","{'gen_z': 0.42, 'millennials': 0.58}",,Malaysia
LETS LIGHT IT UP,keyword,x,8/27/2025,,414,"['V4MPIREW4Y', 'Brd01234', 'luiscortezxo', 'machinegunkalvo', 'yoshiofblue56', 'DillonPillay08', 'shesafansirrr', 'mikmercersk', 'HighSpotPodcast', 'CoachOllie_5', 'TheePhoenixYT', 'AllEliteLeo', 'notyourpoms', 'JaaliPasha', 'minion1_20', 'ahaf21', 'ManiaFLM', 'CrypticIrisMKW', 'quency_____']","{'gen_z': 0.73, 'millennials': 0.27}",,United Kingdom
#TheLastDriveIn,hashtag,x,8/27/2025,,102,"['uncool_mutant', 'Mythos_13', 'seattlescreams', 'EyE_dIg_GrAvEs', 'ManWithPez', 'SJBPS4', 'JayOfTheDeadMF', 'idsblake', 'NathanLive', 'soapreporter', 'theshadowknows3', 'Markdful', 'JLuB9', 'mlwaller', 'SeanWhitmore']","{'gen_z': 0.31, 'millennials': 0.69}",,United States
Hollow Knight,keyword,x,8/27/2025,89000,86,"['karrotdraws', 'GamerBraves', 'tokagekko', '05LumberJack', 'toki504_HK', 'Vadimm555', 'cafelz_', 'suedama4682', 'MiaSkylar', 'TheAkaka123', 'RobPajamas', 'Impireon', 'JoyconDriftYT', 'TheWarBlackjack', 'grok', 'Rohcodom', 'AquaLirae', 'Krizlot', 'antffius', 'cenicerofender']","{'gen_z': 0.29, 'millennials': 0.71}",,Malaysia
queendom the series ep5,keyword,x,8/27/2025,,47594,"['storebetweenus', 'AkoMontoo', 'patheinfatuati', 'riminus27', 'LucyLeigut', 'WeTVThailand', 'darlentinaur', 'canzhiting0815', 'AG0R_mx', 'GiniiG', 'wiljustbwl', 'j7heii']","{'gen_z': 0.39, 'millennials': 0.61}",,Malaysia
#ReverieTour,hashtag,x,8/27/2025,,5290,"['RJTA4xx', 'Pjoaor', 'lalali2024', 'buatong9', 'jm2ushop', 'tjbiko', 'kpoprain_', 'fundaybuddy', 'Babycharoom2', 'lucirinat', 'papatity', 'chnyeolliecious', 'lydmrmr', 'Mapranggg1708', 'stalonmemer']","{'gen_z': 0.95, 'millennials': 0.05}",,Thailand
Foreign Secretary,keyword,x,8/28/2025,22000,5274,"['ckombos', 'dyatlov75', 'Chubbyinurhed', 'SenatorWong', 'Chinaembmanila', 'UKDefJournal', 'Baylonious', 'jonw101961', 'TheCryptoBull11', 'DDIndialive', 'AndrewGoldthor3', 'jim_sheen36986', 'IndiaBeyond7', 'Stephen87386723', 'adha_naan', 'airnewsalerts', 'Defencematrix1', 'comradeKrack', 'jumping89', 'DailyBeijing']","{'gen_z': 0.76, 'millennials': 0.24}",,United Kingdom
Bronx,keyword,x,8/28/2025,,262,"['JRPrince8', 'Buttermilksky1', 'andreeeaau', 'SheepoLeMouton', 'TheStrikeOutFr', 'Denny_Bronx_', 'JBroomestix', 'Bronx_wrangler', 'JHUNG619', 'spaciba', 'bronx_works_pro', 'beanytwitte_r', 'Ernesttt369317', 'ymaiga54', 'KEIBASUKO', 'AFR0ninja42O', 'Max_Khalanga', 'itutheprince']","{'gen_z': 0.21, 'millennials': 0.79}",,Totonto
Radiohead,keyword,x,8/28/2025,,509,"['_replicant_xcx_', 'AlvnG_', 'spel_acchiotto', 'kibeniis', 'sky2fa1l', 'Kiba_Aussie', 'laker1989', 'luxaeternakls', 'Kumakuma9', 'kirbysssssayhi', 'triviahct', 'Uzoma_Jude_C', 'GlitchTheCode', 'Jona76818364', 'R30225542', 'lidzigsezim', 'ditzdain', 'viribidibam', 'sandeshpath', 'Mauro1391']","{'gen_z': 0.75, 'millennials': 0.25}",,Milan
#TJBB_FC,hashtag,x,8/29/2025,,668,"['xx_rily_xx', 'taki_kun012o', 'antares_1108', 'shinobu_bbpp', 'swtk_d0c0b', 'ks_ron14', '__llmmxl', 'N6rkt59', 'Utan_21316', 'drms__jz', 'Love24LDH831110', '3RSFL', 'matsubomeans1', 'tomo7559', 'pompom_orange']","{'gen_z': 0.16, 'millennials': 0.84}",,Japan
Winter Party,keyword,x,8/29/2025,,1189,"['teketeke_ahaha', 'puregenki', 'thluv3', 'DNA_Queen', 'ake_tag', 'satoimomon3103', '_ko_kan_aka_', 'rdap_rin5_nm00', 'mik_K_otorihiki', 'noir_1412', 'cha_10HR', 'eieinawk', 'Natthx4468', 'otona_den5219', 'mame2528T', 'A_yumj', 'yunyun_knights', 'tL55ZO4IagRFnGM', 'zahura__totoi']","{'gen_z': 0.34, 'millennials': 0.66}",,Japan
#BCLions,hashtag,x,8/29/2025,,14234,"['PatBulmer1', 'DJHeerMusic', 'richinvancity', 'FarhanLaljiTSN', 'BCLionsDen', 'ravira', 'RiderCharm', 'T_Peters27', 'BobCobbMaestro1', 'CFL_News', 'AnnefromOntario', 'RoarReport', 'IvyArunan1096', 'fredthealien316', 'JaonsVan', 'BCLions', 'mvbenter', 'GlennYoung_PE']","{'gen_z': 0.13, 'millennials': 0.87}",,Totonto
Middle East,keyword,x,8/29/2025,32000,50,"['TimurYarbay', 'Doggiesman', 'gizmo25536825', 'PhillaDayZilla', 'JohnSmi77078444', 'residential1', 'Joem1899', 'Beefnoodle9', 'DanteNDigitalis', 'JaydereidX83034', 'godse437', 'EndoceneHunter', 'TheBaronVonByte', 'khoshakhlag', 'AkaLazarus', 'dkbanik', 'keye_duncan', 'SunShine86914', 'blower_stephen']","{'gen_z': 0.23, 'millennials': 0.77}",,Malaysia
BLONDE JIMIN,keyword,x,8/29/2025,67000,3767,"['nugajeon', 'pookiejiminnn', 'docthrembo', 'polar_nights_', 'Annette63376048', 'for_bang_tan', 'jmnbestiee', 'jeonpar46401335', 'jiminhistory', 'karenapahit', 'divinekoomin', 'escapismjjk', 'angelstar1632', 'jjyamanikkyu', 'pjmsmono', 'Ldiyaa_', 'bolalachoo10', 'oh_itsdidi', 'namuskitchen_11', 'JiminKpopKING']","{'gen_z': 0.48, 'millennials': 0.52}",,Malaysia
Love Upon a Time Q11,keyword,x,8/30/2025,12000,2435,"['flow2098', 'Lattekim__', 'capibaracarrot', 'forluatupdate', 'usernameisgiven', 'ntjjrcp', 'YmTaekook76898', 'rndjww96', 'lovesiraphop', 'malamindahlink', 'dmdboys_latam']","{'gen_z': 0.01, 'millennials': 0.99}",,Malaysia
#SymphoNare,hashtag,x,8/30/2025,,12436,"['Assyu_inaire', 'takki_pt', 'ZhT40pcpPHIqihH', 'kamasima', 'MIC_301_655_722', 'raga0727', 'plane_ul_n', 'Rela_rila', 'enenperapera', 'badspeedplay666', 'rindarinda0220', 'Neneko_K3', 'bunny_1111', 'Lv0_NoSKILL', 'SYMPHOGEAR', 'takeove30553150', 'rui_boss_cha', 'kanegon_373', 'oite_0120']","{'gen_z': 0.91, 'millennials': 0.09}",,Japan
Scotland,keyword,x,8/30/2025,64000,626,"['Hippychippy56', 'FRings4Ever', 'jmck26911962', 'Scottielad1975', 'BrianMcL6', 'ochawarichan', 'teachdresscode', 'bettybop49', 'SarveshMeet', 'ClaraJones62690', 'grok', 'MarydeVille1', 'Woman_AHF', 'normsdeguerre', 'iam_me_only01', 'RossMcGarrie4', 'mm_tiger', 'Angel41527796', 'Sirlebert']","{'gen_z': 0.17, 'millennials': 0.83}",,United Kingdom
From CNBLUE UN Support,keyword,x,8/30/2025,,10249,"['w_anggra', 'lizhimin778863', 'lovely_eyla', 'sg_shirleyc', 'Ainnahah', 'dinimollababy', 'JYHBestRockStar', 'wnyeffects', 'CNBLUE_UN_Spt', 'AmkaLurun']","{'gen_z': 0.37, 'millennials': 0.63}",,Malaysia
Chargers,keyword,x,8/30/2025,92000,20940,"['lghrblh265', 'Elitetips254', 'himmovie', 'robssontadeu', 'HenYay', 'ghostoaless', 'ChargersGifs', 'dougmarlin01', 'ReeseWDavidson', 'WesSappington9', 'FleshMech_', 'RobertG2324', 'ensoroots', 'Bigsports0', 'hectorjrc27', 'ZerkTalk', 'PresidentXavi', 'jebocalypse', 'tbailey1976']","{'gen_z': 0.33, 'millennials': 0.67}",,Totonto
Seth,keyword,x,8/30/2025,22000,170,"['crimsonmanic24', 'jitendr16246295', 'TheGaffer_86', 'DHerd25', 'DilSeMemes', 'TerriPaul214940', 'Priyang87', 'AyoMaudy_', 'BABYMETALFAN97', 'TheGodImizz23', 'fucking_scary', 'superagent_g', 'HoosierColt1986', 'tribal_lunatic', 'GibsonMenace77', 'SMRJSL', 'ARaelkk5813', 'HuskusFan', 'mantse_ii', 'luka_meah']","{'gen_z': 0.62, 'millennials': 0.38}",,United Kingdom
#Lingling7YActressJourney,hashtag,x,8/31/2025,229000,936,"['si23541', 'Incanto0711', 'LO_YellowAries', 'MaCarmen_jara', 'llk0511511', 'SoulAnd99965', 'PrivilegeBoah', 'KlayleeJir70471', 'PrincessnLO', 'Sa_ke15', 'Time4Moonlight', 'clrkort', 'shepherdv']","{'gen_z': 0.16, 'millennials': 0.84}",,Malaysia
#The_DECADE_of_DAY6,hashtag,x,9/1/2025,,32737,"['KITTY_1010_CAT', 'iamaneugeu', 'from_ddungdin', 'MonstaJooMin', 'dowoongdowoong', 'teachdresscode', 'floresslovely', 'from_haei', 'myday0826', 'Nadycasylva', 'PortalDAY6BR', 'yourbuddyOT6', 'Guun_bam_', 'ZeeBrym53411', 'Soso__3244', 'MindZeaBetter', '_deoksu6', 'lunaweb3_', 'maumfd6']","{'gen_z': 0.93, 'millennials': 0.07}",,Korea
Home Secretary,keyword,x,9/1/2025,95000,704,"['grok', 'RichardBunning', 'JackJaack1243', 'Eurasian68', 'BitcoinAgent_C', 'Defencematrix1', 'Peaceou97195237', 'latestly', 'lindasweet1234', 'Hogueless42', 'PoornimaNimo', 'GeorgeRobley', 'c_b_l_2005', 'gilo747', '72LeoTheLion', 'bairter2015', 'LarryDJonesJr', 'Theseus2323']","{'gen_z': 0.62, 'millennials': 0.38}",,United Kingdom
Duchess of Kent,keyword,x,9/1/2025,18000,291,"['paulnickersonuk', 'geraldi79421313', 'uhurumzalendo1', 'JohnMcK42214', 'MeganHa40250780', 'kamjoe3', 'truckindiesel', 'utahagen', 'callingoutthee1', 'day156324', 'KRMGtulsa', 'brozovicbasic', 'Anthea143289202', 'pluckiepluck', 'Geraldi67883608', 'MrsFHarbottle', '9aCedarCourt']","{'gen_z': 0.53, 'millennials': 0.47}",,United Kingdom
#ZeeNuNew2ndConcert,hashtag,x,9/1/2025,47000,223,"['DarlingAana', 'gamlkiop', 'pemai28halove', 'kitnemzonzon', 'myzunshinee', 'doublenunuchan', 'pen_mha', 'Fangseven', 'maysymyy', 'suprslphth', 'ohananadda', 'p_kaekae', 'Tippawanmai1', 'skyxtacle', 'pranck_09', 'sealticket246', 'yzyzeenunew', 'znn20069', 'alexandria_5529']","{'gen_z': 0.85, 'millennials': 0.15}",,Thailand
Wimbledon,keyword,x,9/1/2025,,166,"['KamalUttrakhand', 'Uxair11khan', 'casino29', 'marioorozgon', 'DforDvnsh_', 'theKORisneverD', 'NickAhlborn', 'HalSear', 'omega_paladin', 'Ridwaan_Bello', 'TennisInthePar1', 'anonymo47425352', 'ReportDeportes', '_Spurrr', 'LeonBestTips', 'addylew_27', 'Ynsslbr', 'troyrecord', 'esasperatAnto']","{'gen_z': 0.14, 'millennials': 0.86}",,Milan
Prophet Muhammad,keyword,x,9/1/2025,37000,305,"['NemotoJojo85537', 'Deenitweets', 'MUHAMMAD735560', 'Idjack12', 'savingsgovpk', 'HisaabERP', 'aboodlavish', 'XsaaaKhaan', 'umar_amx', 'Bshirhamman', 'cesarnotcesar', 'usmaaN23', 'Virgoonx', 'danishzafar11', 'faraz_bina', 'ArshiMinhajul', 'grok', 'FatimaDar_jk']","{'gen_z': 0.8, 'millennials': 0.2}",,Malaysia
Love Upon a Time Q11,keyword,x,9/2/2025,12000,2434,"['usernameisgiven', 'ntjjrcp', 'malamindahlink', 'lovesiraphop', 'flow2098', 'Lattekim__', 'rndjww96', 'capibaracarrot', 'forluatupdate', 'dmdboys_latam', 'YmTaekook76898']","{'gen_z': 0.45, 'millennials': 0.55}",,Malaysia
Chargers,keyword,x,9/3/2025,100000,221099,"['PropsParlay', 'BlueTurtlin', 'OvoJayjay', 'sayheydst', 'SepbackStories', 'bigwiggles1', 'ARomA_78', 'Rok16Ragna', 'AmericaInvests', 'chazflan1990', 'MoneyManBryan3', 'CT_Huffy', 'savagedrewski', 'TeamYouTube', 'C_Jeezy315', 'ossevi', 'CaseyRahn71', 'TheMeatDragon', 'SoFi', 'FatKidDeals']","{'gen_z': 0.83, 'millennials': 0.17}",,United Kingdom
BLONDE JIMIN,keyword,x,9/3/2025,67000,598,"['escapismjjk', 'angelstar1632', 'jjyamanikkyu', 'nstyjjj', 'CloudLilac1', 'oh_itsdidi', 'jiminievol', 'pjmsmono', 'Ldiyaa_', 'Annette63376048', 'jeonpar46401335', 'pjmchaos_', 'moonstruckenha', 'namuskitchen_11', 'vmibear', 'Preciousjiminy', 'nugajeon', 'jmnbestiee', 'pookiejiminnn']","{'gen_z': 0.43, 'millennials': 0.57}",,Malaysia
MEMOIR LAST CHAPTER,keyword,x,9/3/2025,188000,3,"['jellyn0oom', 'immiinq', 'memv_9', 'Dani_5902', 'aouboomsimp', 'mindmintforMM', 'ranmaru329', 'AouFamily', 'iimcream5', '_dalbitkkot', 'Soloxte658807', 'greatinn_italia', 'Hope_nnt', 'NomNomHanger', 'aoulways', 'williamestrise', 'Hiaki_sk']","{'gen_z': 0.66, 'millennials': 0.34}",,Malaysia
Lucas Digne,keyword,x,9/4/2025,,6106,"['Apollo11_1618', 'stade_fred1969', 'CompsJeune', 'adler_p', 'amiral_bgm', 'YougoParigo', 'um_Fel', 'LAA1308', 'scorkpkiller', 'grok', 'ChillyJayJay', 'nocntxtreplyguy', 'ElChoricito', 'LambDonner', 'lucas_gzc', 'pain_za3tar', 'bilkiki', 'jean_blaize', '_2Lille']","{'gen_z': 0.29, 'millennials': 0.71}",,Paris
John Cena,keyword,x,9/4/2025,43000,750,"['sidivs', 'MarsJones277', 'g7s19p16', 'ChadBec82312937', 'PrestonHoover11', 'DontBAMark', 'VARcelona2don', 'MilanReuv99', 'pwtorchvip', 'GregHatlen', 'TheeSaltine', '7amadabsi', 'Nephzee_King', 'WS_WolfStar', 'countchrisHBZ', 'wtflmaoooooi', 'iitsTemper', 'ChristFaithNow', 'SOFIRESAPPHIRE', 'ThomasWrrld']","{'gen_z': 0.57, 'millennials': 0.43}",,Totonto
